"HospitalName" "Address" "District" "Phone" "Update_DtTm" "Normal_Bed_Total" "Normal_Bed_Vacant" "O2_Bed_Total" "O2_Bed_Vacant" "ICU_Bed_Total" "ICU_Bed_Vacant" "All_Bed_Total" "All_Bed_Vacant" "importDate"
"CHC - JCB Hospitals, Palani Road" "PALANI ROAD, DINDIGUL,PALANI ROAD,Dindigul East" "Dindigul" "9150758413" "Last Updated on: 26/05/2021 03:10 PM" 0 0 58 0 2 0 60 0 "2021-05-26"
"CHC - JJ Arul Hospital, A.Vellodu" "Dindigul,dindigul,Dindigul East" "Dindigul" "9952167233 (4.00pm to 8.00am)9629733733 (8.00am to 4.00pm)" "Last Updated on: 26/05/2021 02:29 PM" 36 13 8 0 6 0 50 13 "2021-05-26"
"CHC - K T Hospitals, Palani Bye pass Junction" "NO.222,PALANI ROAD,NEAR BYPASS JUNCTION,Dindigul West" "Dindigul" "8807722202" "Last Updated on: 26/05/2021 03:39 PM" 0 0 75 7 30 0 105 7 "2021-05-26"
"ICCC - K.Keeranur UGPHC" "Idayakottai main road, K.Keeranur,Oddenchatram" "Dindigul" "9384483743" "Last Updated on: 26/05/2021 04:08 PM" 30 30 0 0 0 0 30 30 "2021-05-26"
"CHC - K.V Hospital, Palani" "72 B, Lakshmipuram,Dindigul Main Road,Palani,Palani" "Dindigul" "9942910319 (9.00 AM to 7.00 PM)8883309694 (9.00 AM to 7.00PM)9942910327 (7.00 PM to 9.00 AM)" "Last Updated on: 26/05/2021 03:37 PM" 45 14 10 0 5 2 60 16 "2021-05-26"
"ICCC - KOSAVAPATTI CHC" "Dindigul Natham road, Kosavapatti,Natham" "Dindigul" "9940906581" "Last Updated on: 26/05/2021 04:24 PM" 24 9 0 0 0 0 24 9 "2021-05-26"
"CCC - Kallimanthayam UGPHC" "Dharapuram road, Kallimanthayam,Oddenchatram" "Dindigul" "9498330225" "Last Updated on: 26/05/2021 05:31 PM" 30 30 0 0 0 0 30 30 "2021-05-26"
"CHC - Kasturba Hospital, Gandhigram" "Gandhigram,Athoor" "Dindigul" "9442251001" "Last Updated on: 26/05/2021 03:56 PM" 14 13 10 2 1 1 25 16 "2021-05-26"
"CHC - Kodaikanal" "Kodaikanal UPHC,Laws Ghat Road,Kodaikanal,Kodaikanal" "Dindigul" "994384216004542241292" "Last Updated on: 26/05/2021 04:27 PM" 7 0 26 8 2 2 35 10 "2021-05-26"
"CHC - Leonard Hospital, Batlagundu" "Dindigul Main Road,Batlagundu,Nilakottai" "Dindigul" "8946038497" "Last Updated on: 26/05/2021 03:24 PM" 90 61 10 0 0 0 100 61 "2021-05-26"
"CCC - MVM College, dindigul" "Thadikombu Road,Angu Nagar" "Dindigul" "7904248130" "Last Updated on: 26/05/2021 05:14 PM" 264 49 6 0 0 0 270 49 "2021-05-26"
"ICCC - Mannavanur" "Mannavanur,Kodaikanal" "Dindigul" "9751000077" "Last Updated on: 26/05/2021 08:17 PM" 6 6 0 0 0 0 6 6 "2021-05-26"
"CCC - Mother Therasa University" "Attuvampatty,Kodaikanal" "Dindigul" "9751000077" "Last Updated on: 26/05/2021 08:16 PM" 40 22 0 0 0 0 40 22 "2021-05-26"
"CHO - NMCH -DINDIGUL" "Opp Dindigul North Police station, Dindigul,Dindigul West" "Dindigul" "9841236486" "Last Updated on: 26/05/2021 05:14 PM" 496 0 291 5 30 8 817 13 "2021-05-26"
"CHC - Natham" "Natham GH,Main Road,Natham" "Dindigul" "7598037910" "Last Updated on: 26/05/2021 05:14 PM" 28 13 2 0 0 0 30 13 "2021-05-26"
"CHC - Nilakottai" "THULLUPATTI ,\"11 Ward,New Street\",Nilakkottai (North),Nilakottai" "Dindigul" "9487945085" "Last Updated on: 26/05/2021 04:51 PM" 18 8 12 9 0 0 30 17 "2021-05-26"
"CHC - Oddanchathiram" "" "Dindigul" "8903581961" "Last Updated on: 26/05/2021 04:32 PM" 30 4 0 0 0 0 30 4 "2021-05-26"
"ICCC - PAPPAMPATTY CHC" "Kudhirayar Dam road, Pappampatty,Palani" "Dindigul" "9360232755" "Last Updated on: 26/05/2021 05:12 PM" 15 13 0 0 0 0 15 13 "2021-05-26"
"CHC - Palani GH" "Palani GH,Dindigul Road,Palani" "Dindigul" "74492479839994743070" "Last Updated on: 26/05/2021 04:13 PM" 30 5 68 0 2 0 100 5 "2021-05-26"
"CCC - Pallapatti CCC" "Chinna Pallapatti, Madurai road, Dindigul,Dindigul East" "Dindigul" "9842123696" "Last Updated on: 26/05/2021 05:13 PM" 120 68 0 0 0 0 120 68 "2021-05-26"
"CHC - Raja Rajeswari Hospital, Spencer compound " "46,Thiruvalluvar salai,spencer compound ,dindigul,Dindigul East" "Dindigul" "9790348888" "Last Updated on: 26/05/2021 03:22 PM" 48 6 1 0 1 0 50 6 "2021-05-26"
"CHC - Reshma Medical Centre, Dindigul" "" "Dindigul" "8098855588" "Last Updated on: 26/05/2021 06:55 PM" 7 0 6 0 2 0 15 0 "2021-05-26"
"CCC - SIDDHA CCC-BC WELFARE HOSTEL" "Ambathurai,Athoor" "Dindigul" "9791256700" "Last Updated on: 26/05/2021 03:20 PM" 50 41 0 0 0 0 50 41 "2021-05-26"
"CHC - Sanjay Surgical Hopital, palani" "" "Dindigul" "9999" "Last Updated on: 26/05/2021 03:32 PM" 35 0 0 0 0 0 35 0 "2021-05-26"
"CHC - Shifa Hospital-Dindigul" "new collector office,Chennamanayakkanpatti,Dindigul West" "Dindigul" "9488734986" "Last Updated on: 26/05/2021 03:08 PM" 25 2 15 0 6 0 46 2 "2021-05-26"
"CHC - Shree SathyaSubha Hospital, New Agraharam" "53, New agraharam, palani road,Dindigul,Dindigul West" "Dindigul" "6381781885" "Last Updated on: 26/05/2021 03:27 PM" 0 0 67 0 3 0 70 0 "2021-05-26"
"CCC - Sithayankottai UGPHC" "Sitahyankottai, Athoor,Athoor" "Dindigul" "7502905123" "Last Updated on: 26/05/2021 05:15 PM" 25 23 0 0 0 0 25 23 "2021-05-26"
"CHC - Soba  General Hospital, Dindigul" "" "Dindigul" "9999" "Last Updated on: 26/05/2021 03:21 PM" 10 4 15 0 5 4 30 8 "2021-05-26"
"CHC - Sri Sakthi Vinayagar Multispeciality Hospital, Guziliamparai" "95, 95A Near Bus Stand Main Road ,Guziliamparai,Guziliamparai,Gujiliamparai" "Dindigul" "9965534480" "Last Updated on: 26/05/2021 03:48 PM" 15 2 20 0 20 0 55 2 "2021-05-26"
"CHC - St.Joseph Hospital, Dindigul" "15 TRICHY ROAD,Dindigul West" "Dindigul" "9500659635" "Last Updated on: 26/05/2021 03:35 PM" 91 22 9 0 0 0 100 22 "2021-05-26"
"ICCC - T.Keeranur UGPHC" "Keeranur,Oddenchatram" "Dindigul" "9498330225" "Last Updated on: 26/05/2021 05:30 PM" 30 30 0 0 0 0 30 30 "2021-05-26"
"ICCC - Thadikombhu CHC" "Near Police station, Thadikombu,Dindigul East" "Dindigul" "9842123696" "Last Updated on: 26/05/2021 04:06 PM" 30 12 0 0 0 0 30 12 "2021-05-26"
"ICCC - Uluppakudi CHC" "Natham road, Uluppakudi,624401,Natham,Natham" "Dindigul" "8190864001" "Last Updated on: 26/05/2021 04:53 PM" 30 30 0 0 0 0 30 30 "2021-05-26"
"ICCC - VADAMADURAI CHC" "Dindigul-Trichy Highway, Vadamadurai,Vedasandur" "Dindigul" "9952729205" "Last Updated on: 26/05/2021 09:32 PM" 24 24 0 0 0 0 24 24 "2021-05-26"
"CHC - Vadamalayan Hospital" "Angu nagar, Chettinayakanpatti,,Dindigul West" "Dindigul" "9943266499 (8.00am to 7.00pm)8754044538 (9.00am to 7.00pm)" "Last Updated on: 26/05/2021 02:09 PM" 30 0 36 0 10 0 76 0 "2021-05-26"
"CHC - Van Allen Hospital, Kodaikanal" "St Mary`s road,Kodaikanal,Kodaikanal" "Dindigul" "6374042759" "Last Updated on: 26/05/2021 03:21 PM" 7 2 8 3 0 0 15 5 "2021-05-26"
"CHC - Vedasandur" "GOVERNMENT HOSPITAL,VEDASANDUR.,VEDASANDUR,Dindigul West" "Dindigul" "9842125670" "Last Updated on: 26/05/2021 11:09 AM" 22 2 8 8 0 0 30 10 "2021-05-26"
"CHC - Vel Multispeciality Hospital, Palani" "11, GOUNDER ITTERY ROAD,VEL NAGAR, PALANI,Palani" "Dindigul" "9842047777" "Last Updated on: 26/05/2021 07:46 PM" 20 0 20 0 10 0 50 0 "2021-05-26"
"ICCC - Viruveedu chc" "Viruveedu,Nilakottai" "Dindigul" "9677076963" "Last Updated on: 26/05/2021 05:29 PM" 30 27 0 0 0 0 30 27 "2021-05-26"
"ICCC - kannivadi chc" "Kannivadi" "Dindigul" "7588119423" "Last Updated on: 26/05/2021 06:18 PM" 21 21 0 0 0 0 21 21 "2021-05-26"
"CCC - BGR COVID CARE CENTER" "MSS COMPLEX,KRISHNAGIRI MAIN ROAD,KUNDALAPATTI,Dharmapuri" "Dharmapuri" "9943347453" "Last Updated on: 26/05/2021 05:08 PM" 44 19 6 0 0 0 50 19 "2021-05-26"
"ICCC - Bairnatham" "Bairanatham ,Pappireddipatty , Dharmapuri,Pappireddipatti" "Dharmapuri" "04346249400" "Last Updated on: 26/05/2021 08:01 PM" 30 30 0 0 0 0 30 30 "2021-05-26"
"CCC - DHARMAPURI COVID CARE CENTER" "" "Dharmapuri" "9600620227" "Last Updated on: 26/05/2021 08:27 PM" 19 0 41 0 0 0 60 0 "2021-05-26"
"CHO - GDMCH,DHARMPURI" "Dharmapuri,Dharmapuri,Dharmapuri" "Dharmapuri" "+919585182498" "Last Updated on: 26/05/2021 10:09 PM" 165 19 209 0 241 0 615 19 "2021-05-26"
"CHC - GH,HARUR" "HARUR,DHARMAPURI MAIN ROAD,HARUR,Harur" "Dharmapuri" "9600818001" "Last Updated on: 26/05/2021 04:23 PM" 25 0 15 0 0 0 40 0 "2021-05-26"
"CHC - GH,PENNAGARAM" "Hokanakkal,Pennagaram" "Dharmapuri" "8220861289" "Last Updated on: 26/05/2021 03:21 PM" 42 0 53 0 0 0 95 0 "2021-05-26"
"CHC - GOVERNMENT HOSPITAL,PALACODE" "MEDICAL OFFICER, BYPASS ROAD,NEAR GOVT GIRLS HR.SEC.SCHOOL,PALACODE.,PALACODE,Palacode" "Dharmapuri" "9944843591" "Last Updated on: 26/05/2021 05:01 PM" 30 0 15 0 0 0 45 0 "2021-05-26"
"CCC - GOVT ENGINEERING COLLEGE,CHETTIKARAI" "Chettikarai,Dharmapuri" "Dharmapuri" "9345458552" "Last Updated on: 26/05/2021 04:31 PM" 500 390 0 0 0 0 500 390 "2021-05-26"
"CCC - GOVT POLYTECHNIC COLLEGE , KADATHUR" "GOVT POLYTECHNIC COLLEGE,Pappireddipatti" "Dharmapuri" "9442067871" "Last Updated on: 26/05/2021 03:08 PM" 150 150 0 0 0 0 150 150 "2021-05-26"
"ICCC - GUPHC ERIYUR" "UGPHC ERIYUR ,UGPHC ERIYUR ,SUNCHALNATHAM,Pennagaram" "Dharmapuri" "8903156032" "Last Updated on: 26/05/2021 03:37 PM" 30 30 0 0 0 0 30 30 "2021-05-26"
"ICCC - GUPHC THEERTHAMALAI" "Theerthamalai ,Harur pincode:636906" "Dharmapuri" "98942707226379890678848986046086082020139444654791" "Last Updated on: 26/05/2021 07:06 PM" 30 30 0 0 0 0 30 30 "2021-05-26"
"ICCC - GUPHC THURINJIPATTI" "Govt primary health centre,D. Thurinjipatti ,Krishnapuram,Dharmapuri" "Dharmapuri" "9629734855790484987198941989319003880210" "Last Updated on: 26/05/2021 05:09 PM" 30 23 0 0 0 0 30 23 "2021-05-26"
"CCC - JAYAM ENGINEERING COLLEGE" "Jayam Engineering College,Nallanur,Pennagaram,Pennagaram" "Dharmapuri" "9524430129" "Last Updated on: 26/05/2021 06:25 PM" 350 312 0 0 0 0 350 312 "2021-05-26"
"ICCC - Kadathur" "" "Dharmapuri" "9999" "Last Updated on: 26/05/2021 05:26 PM" 30 30 0 0 0 0 30 30 "2021-05-26"
"ICCC - Karimangalam" "" "Dharmapuri" "9999" "Last Updated on: 26/05/2021 04:02 PM" 30 30 0 0 0 0 30 30 "2021-05-26"
"ICCC - Marandahalli" "Govt community health centre,Marandahalli (Vil),Palacode" "Dharmapuri" "9154154301" "Last Updated on: 26/05/2021 04:14 PM" 30 30 0 0 0 0 30 30 "2021-05-26"
" CHC - SUPA HOSPITAL" "37, SIDDHA VEERAPPA CHETTY STREET,DHARMAPURI,NEAR BUS STAND,Dharmapuri" "Dharmapuri" "7708705454" "Last Updated on: 26/05/2021 10:04 AM" 8 1 3 0 0 0 11 1 "2021-05-26"
"CHC - Sree Ragavendra Hospital, Dharmapuri" "79-C, Salai Vinayagar Road,Opp BBC Kalayana Mandabam,Dharmapuri" "Dharmapuri" "9788012455 (09.00am to 05.00 pm)" "Last Updated on: 26/05/2021 04:52 PM" 17 0 7 0 0 0 24 0 "2021-05-26"
"ICCC - Thoppur" "Thoppur phc,Nallampalli" "Dharmapuri" "9154154298" "Last Updated on: 26/05/2021 05:35 PM" 30 30 0 0 0 0 30 30 "2021-05-26"
"CHC - Anjukaa Specilaity Hospital, Chidambaram" "Aram covid care centre,Vandigate,Chidambaram,Chidambaram" "Cuddalore" "+91 88073 13105" "Last Updated on: 26/05/2021 11:32 PM" 44 26 6 5 0 0 50 31 "2021-05-26"
"CCC - Anna university CCC" "Chennai kumbakonam highway,panickankuppam main road panruti,Panruti" "Cuddalore" "9677151521" "Last Updated on: 26/05/2021 11:07 AM" 300 112 0 0 0 0 300 112 "2021-05-26"
"CHC - Arun Hospital, No.9/11, Mettu St., Thittakudi" "" "Cuddalore" "9999" "Last Updated on: 26/05/2021 07:29 PM" 13 0 12 0 0 0 25 0 "2021-05-26"
"CCC - C Mutlur CCC" "Cuddalore chidambaram road c mutlur,Chidambaram" "Cuddalore" "9789228038" "Last Updated on: 26/05/2021 11:16 AM" 400 160 0 0 0 0 400 160 "2021-05-26"
"CCC - Diamond Jubliee Hospital, Cdm.," "Annamalai nahar,annamalai university ,Chidambaram" "Cuddalore" "8012368234" "Last Updated on: 26/05/2021 10:24 AM" 132 47 0 0 0 0 132 47 "2021-05-26"
"CHC - Ezhil Clinic, Vriddhachalam" "" "Cuddalore" "9999" "Last Updated on: 26/05/2021 05:17 PM" 10 0 0 0 0 0 10 0 "2021-05-26"
"CHC - GH-Bhuvanagiri" "Govt. Taluk Hospital,Kacheri pillayar kovil street,Bhuvanagiri,Bhuvanagiri" "Cuddalore" "4144241001" "Last Updated on: 26/05/2021 05:14 PM" 20 20 0 0 0 0 20 20 "2021-05-26"
"CHC - GH-Chidambaram" "Nehru Nagar, Chidambaram, Tamil Nadu 608001" "Cuddalore" "8300032121" "Last Updated on: 26/05/2021 06:56 PM" 65 1 6 0 4 0 75 1 "2021-05-26"
"CHC - GH-Kattumannarkoil" "" "Cuddalore" "9944797762" "Last Updated on: 26/05/2021 04:23 PM" 16 0 4 0 0 0 20 0 "2021-05-26"
"CHC - GH-Kurinjipadi" "" "Cuddalore" "8489610447" "Last Updated on: 26/05/2021 05:08 PM" 20 11 0 0 0 0 20 11 "2021-05-26"
"CHO - GH-NLC" "" "Cuddalore" "9443953300" "Last Updated on: 26/05/2021 08:06 PM" 114 38 92 0 20 0 226 38 "2021-05-26"
"CHC - GH-Panrutti" "NH 45 C,KUMBAKONAM ROAD ,PANRUTI,PANRUTI,Panruti" "Cuddalore" "9952490527" "Last Updated on: 26/05/2021 05:11 PM" 43 2 7 0 0 0 50 2 "2021-05-26"
"CHC - GH-Parangipettai" "" "Cuddalore" "8220732372" "Last Updated on: 26/05/2021 03:21 PM" 10 10 0 0 0 0 10 10 "2021-05-26"
"CHC - GH-Thittagudi" "MAIN ROAD, BESIDE POLICE STATION, THITTAGUDI,Titagudi" "Cuddalore" "9003349507" "Last Updated on: 26/05/2021 05:57 PM" 30 10 0 0 0 0 30 10 "2021-05-26"
"CHC - GH-Veppur" "" "Cuddalore" "9443667521" "Last Updated on: 26/05/2021 05:22 PM" 10 10 0 0 0 0 10 10 "2021-05-26"
"CHC - GH-Virudachalam" "Salem road, virudhachalam,Virudhachalam,Vridhachalam" "Cuddalore" "9677323290" "Last Updated on: 26/05/2021 02:46 PM" 45 16 11 0 4 0 60 16 "2021-05-26"
"CCC - Golden Jubilee Hospital, Cdm.," "Annamalai nahar,annamalai university ,Chidambaram" "Cuddalore" "8072285676" "Last Updated on: 26/05/2021 10:30 AM" 400 160 0 0 0 0 400 160 "2021-05-26"
"CCC - Govt polytechnic college,thethampattu CCC" "Srimushnam ,Titagudi" "Cuddalore" "8012368234" "Last Updated on: 26/05/2021 11:05 AM" 100 70 0 0 0 0 100 70 "2021-05-26"
"CHC - HQRS-Cuddalore" "Nellikuppam Main Road,Manjakuppam,Cuddalore,Cuddalore" "Cuddalore" "9443253439" "Last Updated on: 26/05/2021 06:07 PM" 156 13 175 0 42 0 373 13 "2021-05-26"
"CCC - Jawahar arts college,nlc CCC" "Neyveli township,tamilnadu,Kurinjipadi" "Cuddalore" "9443043958" "Last Updated on: 26/05/2021 11:06 AM" 150 139 0 0 0 0 150 139 "2021-05-26"
"CHO - KALYAAN SPECIAALITY HOSPITAL" "NO 5 KUNDUSALAI ROAD ALPET ,ALPET,Cuddalore" "Cuddalore" "9025720095" "Last Updated on: 26/05/2021 05:41 PM" 10 2 0 0 12 1 22 3 "2021-05-26"
"CCC - KOLANCHIAPPAR ARTS AND SCIENCE COLLEGE" "SH69,virudhachalam,Tamilnadu,Vridhachalam" "Cuddalore" "9345829914" "Last Updated on: 26/05/2021 10:32 AM" 300 120 0 0 0 0 300 120 "2021-05-26"
"ICCC - Kammapuram" "Kammapuram.,Vridhachalam" "Cuddalore" "9442443518" "Last Updated on: 26/05/2021 07:25 PM" 30 27 0 0 0 0 30 27 "2021-05-26"
"CCC - Kandhasamy Naidu Arts & Science College, Cuddalore" "Nellikuppam main road,semmandalam,cuddalore,Cuddalore" "Cuddalore" "8668066907" "Last Updated on: 26/05/2021 10:35 AM" 0 0 0 0 0 0 0 0 "2021-05-26"
"CHC - Kannan Hospital, Manjakuppam" "No. 17bashyam street,,Manjakuppam,Allpetai,Cuddalore" "Cuddalore" "04142230370 (10.0 AM-4. 00 PM)" "Last Updated on: 26/05/2021 05:30 PM" 10 10 6 6 24 24 40 40 "2021-05-26"
"ICCC - Komaratchi" "Kumaratchi chic,kumaratchi ,Chidambaram" "Cuddalore" "9047236655" "Last Updated on: 26/05/2021 07:14 PM" 30 28 0 0 0 0 30 28 "2021-05-26"
"CCC - Krishna Cancer Institute,  Cuddalore" "76/2,Nellikuppam Main Road, Thottapattu,  Cuddalore - 607109,Thottapattu,Cuddalore" "Cuddalore" "8667590682" "Last Updated on: 26/05/2021 10:49 AM" 100 25 0 0 0 0 100 25 "2021-05-26"
"ICCC - Krishnapuram" "Krishnapuram,Kurinjipadi" "Cuddalore" "9500984201" "Last Updated on: 26/05/2021 07:28 PM" 30 29 0 0 0 0 30 29 "2021-05-26"
"CCC - Krishnasamy Engineering College" "Nellikuppam main road,s kumarapuram,Cuddalore" "Cuddalore" "8668066907" "Last Updated on: 26/05/2021 10:50 AM" 200 29 0 0 0 0 200 29 "2021-05-26"
"CHO - Lakshmi Hospital, Manjakuppam" "" "Cuddalore" "9942079075" "Last Updated on: 26/05/2021 04:06 PM" 10 5 4 0 0 0 14 5 "2021-05-26"
"CHC - MATHANRAJ SINNASSAMMY" "45, BASHYAM STREET, MANJAKUPPAM, CUDDALORE,Cuddalore" "Cuddalore" "7010707361" "Last Updated on: 26/05/2021 06:07 PM" 6 0 15 0 4 0 25 0 "2021-05-26"
"CHC - Malar Medical Centre, Mangalampettai" "" "Cuddalore" "9999" "Last Updated on: 25/05/2021 02:19 PM" 3 0 1 0 0 0 4 0 "2021-05-26"
"ICCC - Mangalampettai" "Vridhachalam.,Vridhachalam" "Cuddalore" "8526583965" "Last Updated on: 26/05/2021 07:24 PM" 30 29 0 0 0 0 30 29 "2021-05-26"
"ICCC - Marungur" "Panruti main road,panruti,Panruti" "Cuddalore" "9443051488" "Last Updated on: 26/05/2021 07:21 PM" 30 29 0 0 0 0 30 29 "2021-05-26"
"CCC - NLC ASALDO CCC" "NEYVELI TOWNSHIP,NEYVELI,Cuddalore" "Cuddalore" "9443043958" "Last Updated on: 26/05/2021 08:07 PM" 58 22 0 0 0 0 58 22 "2021-05-26"
"CCC - NLC Traning Hostel" "Neyveli township,neyveli,Kurinjipadi" "Cuddalore" "9443043958" "Last Updated on: 26/05/2021 08:06 PM" 70 21 0 0 0 0 70 21 "2021-05-26"
"ICCC - Naduveerapattu" "Naduveerapattu main road,naduveerapattu,Cuddalore" "Cuddalore" "8760219622" "Last Updated on: 26/05/2021 07:06 PM" 30 27 0 0 0 0 30 27 "2021-05-26"
"CCC - Neyveli ARTS College" "" "Cuddalore" "8012368234" "Last Updated on: 26/05/2021 11:30 AM" 150 127 0 0 0 0 150 127 "2021-05-26"
"CCC - OPR-College-Vadalore" "Neyveli main road,vadalur,Near sathyagnana sabai,Kattumannarkoil" "Cuddalore" "9342096281" "Last Updated on: 26/05/2021 10:58 AM" 75 37 0 0 0 0 75 37 "2021-05-26"
"ICCC - Oraiyur" "Annagramam panchayat,oraiyur,Panruti" "Cuddalore" "9843057128" "Last Updated on: 26/05/2021 07:05 PM" 30 29 0 0 0 0 30 29 "2021-05-26"
"ICCC - Orathur" "Orathur,.,Bhuvanagiri" "Cuddalore" "9600656836" "Last Updated on: 26/05/2021 07:27 PM" 30 29 0 0 0 0 30 29 "2021-05-26"
"CHO - PPS Medical Centre, Vridhachalam" "#55,Junction Road,Near Main Bus Stand,Vridhachalam" "Cuddalore" "8903644366 (9.00 AM  To 5.00 PM)" "Last Updated on: 26/05/2021 09:07 PM" 7 0 3 0 0 0 10 0 "2021-05-26"
"ICCC - Pennadam" "Pennadam main road pennadam,Veppur" "Cuddalore" "8754967907" "Last Updated on: 26/05/2021 07:19 PM" 30 29 0 0 0 0 30 29 "2021-05-26"
"ICCC - Puduchathram" "Chidambaram main road puduchatram.,Bhuvanagiri" "Cuddalore" "9789228038" "Last Updated on: 26/05/2021 07:22 PM" 30 28 0 0 0 0 30 28 "2021-05-26"
"CHO - Rajah Muthiah medical college" "Annamalai nagar,Chidambaram" "Cuddalore" "0414423801004144239126" "Last Updated on: 26/05/2021 00:07 AM" 180 0 242 0 78 0 500 0 "2021-05-26"
"CCC - S.R Jankit kalyanamandapam, cuddalore" "Pudukuppam,near police recruit school,Cuddalore" "Cuddalore" "8668066907" "Last Updated on: 26/05/2021 10:59 AM" 100 100 0 0 0 0 100 100 "2021-05-26"
"ICCC - Srimushnam" "Srimushnam,Srimushanam" "Cuddalore" "8072463470" "Last Updated on: 26/05/2021 07:12 PM" 30 29 0 0 0 0 30 29 "2021-05-26"
"CHC - Surendra Multi Speciality Hospital, No.9, Imperial Road" "" "Cuddalore" "9999" "Last Updated on: 26/05/2021 10:35 AM" 24 24 6 6 0 0 30 30 "2021-05-26"
"ICCC - Theerthanagiri" "Theertanagiri ,Kurinjipadi" "Cuddalore" "8838115697" "Last Updated on: 26/05/2021 07:16 PM" 30 29 0 0 0 0 30 29 "2021-05-26"
"CCC - Thiruvallur Atrs College, Thittagudi" "Thiruv,Veppur" "Cuddalore" "9994847917" "Last Updated on: 26/05/2021 11:03 AM" 200 180 0 0 0 0 200 180 "2021-05-26"
"ICCC - Thozhuthur" "Thozhuthur phc,Titagudi" "Cuddalore" "9994711540" "Last Updated on: 26/05/2021 07:17 PM" 30 29 0 0 0 0 30 29 "2021-05-26"
"CCC - Travancore CCC	" "Annamalai nagar chidambaram ,Chidambaram" "Cuddalore" "9003523624" "Last Updated on: 26/05/2021 11:15 AM" 100 77 0 0 0 0 100 77 "2021-05-26"
"CHC - VCS Hospital, Cuddalore" "" "Cuddalore" "9999" "Last Updated on: 26/05/2021 10:26 AM" 5 1 7 0 0 0 12 1 "2021-05-26"
"CCC - THE HOTEL ARCADIA (KOVAI MEDICAL CENTRE & HOSPITAL)" "" "Coimbatore" "9789332200" "Last Updated on: 26/05/2021 07:08 PM" 23 9 0 0 0 0 23 9 "2021-05-26"
"ICCC - Thaliyur" "Kanuvai Road, Pannimadai Po, Dhaliyur, Coimbatore,Pannimadai,Coimbatore North" "Coimbatore" "9342335383" "Last Updated on: 26/05/2021 09:18 PM" 20 5 0 0 0 0 20 5 "2021-05-26"
"CHO - UMADEVI HOSPITAL" "" "Coimbatore" "9999" "Last Updated on: 26/05/2021 10:28 AM" 15 1 6 0 4 0 25 1 "2021-05-26"
"CHO - VENKATESWARA HOSPITAL" "" "Coimbatore" "9597165093" "Last Updated on: 26/05/2021 11:48 AM" 40 0 0 0 10 0 50 0 "2021-05-26"
"CHC - VG HOSPITALS" "NO 76 A, METTUPALAYAM ROAD, THUDIYALUR,COIMBATORE,COIMBATORE,Coimbatore North" "Coimbatore" "9894288514" "Last Updated on: 26/05/2021 08:55 AM" 12 0 6 0 2 0 20 0 "2021-05-26"
"CCC - Vidya Vikas CCC" "Vidya Vikas School,Kariyampalayam Road,Karamadai,Mettupalayam" "Coimbatore" "7639105220" "Last Updated on: 26/05/2021 02:18 PM" 300 0 0 0 0 0 300 0 "2021-05-26"
"CHC - Vimal Jyothi Hospital, Saravanampatty" "SATHY MAIN ROAD VISWASAPURAM,SARAVANAMPATTY,SARAVANAMPATTY,Coimbatore North" "Coimbatore" "9787653550 (8.00 am to 1.00 pm)9787653550 (1.00 pm to 8.00 pm)" "Last Updated on: 26/05/2021 06:11 PM" 16 0 4 0 0 0 20 0 "2021-05-26"
"CHO - ARUN HOSPITAL" "NEW SCHEME ROAD,Pollachi" "Coimbatore" "9894415155 (8.00 AM to 11.00 PM)7092042072 (10.00 AM To 12.00PM)9965066313 (06.00 AM To 07.00PM)8838638093 (12.00 PM To 12.00 PM)" "Last Updated on: 26/05/2021 09:00 PM" 46 5 22 0 2 0 70 5 "2021-05-26"
"CHC - ASD NURSING HOME" "" "Coimbatore" "9843008384" "Last Updated on: 26/05/2021 06:08 PM" 20 4 10 0 0 0 30 4 "2021-05-26"
"CHC - Abinand Hospital,Coimbatore TN." "237 f Pollachi main road,Sundarapuram,Kuruchi,Coimbatore South" "Coimbatore" "70106584417010844065" "Last Updated on: 26/05/2021 09:47 AM" 30 5 30 0 5 0 65 5 "2021-05-26"
"CCC - Anna University - UIT Educational Trust" "Navavoor Privu,ANNA UNIVERSITY REGIONAL CAMPUS - CBE,Coimbatore North" "Coimbatore" "9688888888 (08.00 AM To 04:00 PM)9597756029 (04:01 PM To 07:59 AM)" "Last Updated on: 26/05/2021 07:05 PM" 200 48 0 0 0 0 200 48 "2021-05-26"
"ICCC - Arisipalayam" "" "Coimbatore" "9999" "Last Updated on: 26/05/2021 04:18 PM" 30 26 0 0 0 0 30 26 "2021-05-26"
"CCC - Atlas Covid Care" "Kamarajar Road ,Uppilipalayam,Near Hope College ,Coimbatore South" "Coimbatore" "9994101326" "Last Updated on: 26/05/2021 08:25 AM" 40 4 0 0 0 0 40 4 "2021-05-26"
"CHC - BALA MEDICAL CENTRE AND HOSPITAL" "" "Coimbatore" "9842224624" "Last Updated on: 26/05/2021 05:46 PM" 4 0 10 0 0 0 14 0 "2021-05-26"
"CHC - BRJ Ortho Centre & MAK Hospital, Mettupalayam Road" "" "Coimbatore" "9999" "Last Updated on: 26/05/2021 11:56 PM" 18 1 24 0 0 0 42 1 "2021-05-26"
"CCC - Bharathiar University Coimbatore" "" "Coimbatore" "9698051698" "Last Updated on: 26/05/2021 11:41 PM" 375 30 0 0 0 0 375 30 "2021-05-26"
